OFNS_DESC,CMPLNT_NUM,CMPLNT_FR_DT
FORGERY,482,12/01/2018 12:00:00 AM
FORGERY,547,01/01/2019 12:00:00 AM
FORGERY,383,02/01/2019 12:00:00 AM
FORGERY,502,03/01/2019 12:00:00 AM
FORGERY,471,04/01/2019 12:00:00 AM
FORGERY,366,05/01/2019 12:00:00 AM
FORGERY,395,06/01/2019 12:00:00 AM
FORGERY,406,07/01/2019 12:00:00 AM
FORGERY,370,08/01/2019 12:00:00 AM
FORGERY,344,09/01/2019 12:00:00 AM
FORGERY,355,10/01/2019 12:00:00 AM
FORGERY,328,11/01/2019 12:00:00 AM
FORGERY,267,12/01/2019 12:00:00 AM
FRAUDS,253,01/01/2018 12:00:00 AM
FRAUDS,249,02/01/2018 12:00:00 AM
FRAUDS,258,03/01/2018 12:00:00 AM
FRAUDS,268,04/01/2018 12:00:00 AM
FRAUDS,219,05/01/2018 12:00:00 AM
